match_id,event_idx,duration_s,const_f_d,const_err,tau_d,f_d0,f_d_inf,d0,theta_d_deg,dyn_err,improvement_pct,direction,d_mean,d_min,d_max
J03WMX,18,1.84,8.791614390026982,0.8828071463791684,0.5456295640452588,12.0,0.01,8.748738580802804,57.321924030169704,0.7503367404336568,15.005588308708035,H1',1.7060324190576928,1.1541264628554184,3.044915842779289
J03WPY,85,2.2,3.7468108136261336,0.8402400426394027,2.5425433854119386,0.30964361169119237,7.830478746597412,11.960028472858637,-86.2389041129079,0.7577623141434965,9.815972140154514,opposite,7.357488213976073,5.516686859867566,11.482562025112676
J03WPY,67,4.36,0.480371498643338,6.245113341682402,20.0,0.01,1.7116457744285194,11.912983118882169,176.11728417522224,6.231209638635649,0.22263331802089711,opposite,3.1248972443574807,1.1584605856197487,3.8830497224972036
J03WMX,39,3.44,3.5429350392953376,2.843813568674402,3.3482356542797627,0.01,3.6004189381861007,2.0983120238973214,75.45783551475097,2.8222027415413025,0.7599241867030416,opposite,4.559145133317092,2.429524393383205,6.883766700225573
J03WPY,13,4.72,0.3277497763972534,7.677348967261884,0.6719583272202462,0.01,4.336426443335879,12.0,-85.13892986530665,7.056918442868694,8.081312013285565,opposite,11.968979312981457,9.558437243186576,15.959152193009315
J03WPY,15,1.84,2.2095034095864983,0.8423571394691375,20.0,0.01,12.0,5.506820744326726,87.53392721653287,0.7928313411480044,5.8794299947816455,opposite,0.8843924463041275,0.40357278914308936,1.3811535811442566
J03WPY,31,1.76,3.7905920382745615,0.13819332943172868,2.762992204665061,0.01,5.171686803883849,12.0,41.990369634957105,0.11569307696041223,16.281721095975332,opposite,10.681588750843646,7.31503249672655,12.28268118532434
J03WMX,52,2.16,20.0,0.7912499644254218,0.6928114100233757,0.01,12.0,2.667247552982837,72.04403993032767,0.8427517711923874,-6.508917419587425,opposite,4.6744437636582274,4.033674739393016,5.384330495596786
J03WMX,36,4.28,9.528044054484281,1.5038153484461771,0.5051427131510087,11.785512382082558,4.371054537185046,11.979685964490786,-26.256047690227582,1.4822665418564593,1.4329423231371585,H1',3.881397597388514,1.554509058641031,4.983968833126207
J03WMX,15,3.0,8.860944815404334,5.829048009891233,20.0,12.0,0.9775666419617803,3.2558231433366553,-88.20570908403492,2.4068385166371065,58.70957808971594,H1',3.7387199443889942,1.0419262816976107,9.527695761554419
J03WPY,21,2.32,2.123899529854296,1.4781086341868461,20.0,5.955660880879603,0.01,8.29311774468734,64.88319045145279,1.297783510570028,12.199720605516974,H1',6.3646188921297036,1.2717486219621974,11.51830447074091
