match_id,event_idx,attacker_id,defender_id,duration_s,n_frames,tau_d,f_d,theta_d_deg,fit_error,d_start,d_end,d_mean,d_min,d_max
J03WPY,0,DFL-OBJ-J01KJ5,DFL-OBJ-002GG4,1.68,43,1.0071168479294335,8.489769170189044,-41.615226148587595,0.4669289880082525,9.435599153291479,2.7971149889092795,6.064794668506417,2.7971149889092795,9.435599153291479
J03WPY,1,DFL-OBJ-002FXT,DFL-OBJ-0028T3,2.7600000000000002,70,20.0,1.1133938033645672,116.76801869080525,1.57662482770715,7.734102909790901,3.455148353358794,5.155378848237259,3.422158951591714,7.734102909790901
J03WPY,2,DFL-OBJ-00028V,DFL-OBJ-0028BZ,2.8000000000000003,71,0.4635112107904283,6.657952932088742,35.29299127892695,0.5006101865577519,14.244402343128385,11.063765283771584,13.502333370620411,11.063765283771584,14.70801202882454
J03WPY,3,DFL-OBJ-002GMO,DFL-OBJ-002595,2.2,56,3.879465202903347,2.0066504461078796,-118.52589950796828,0.10754363732570939,13.590000118347133,7.158722006560985,10.470137677760023,7.158722006560985,13.590000118347133
J03WPY,4,DFL-OBJ-002G68,DFL-OBJ-002FXT,1.8,46,2.83465792269279,3.2211259097582654,65.56627815796864,0.4098572220061144,6.815607599798336,1.1425731291228765,3.6001739184438057,1.1425731291228765,6.815607599798336
J03WPY,5,DFL-OBJ-002GMO,DFL-OBJ-0028BZ,2.88,73,1.6504308130097785,4.9989591044809805,-54.22588851951362,0.4691974313139654,10.665782801910687,2.0078187354864427,5.540162850512961,2.0078187354864427,10.665782801910687
J03WPY,6,DFL-OBJ-002G68,DFL-OBJ-002FXT,3.6,91,1.1478937791005692,6.321387736203595,43.65993177087434,1.8149838326445187,12.217733443172852,1.2673420828344222,5.482205848604782,1.2673420828344222,12.217733443172852
J03WPY,7,DFL-OBJ-J01H9X,DFL-OBJ-002595,2.4,61,20.0,2.5003576511190326,102.89627735332573,1.856556119092372,6.024807509226004,3.8595539504018097,4.504951226664538,3.7376294487327213,6.024807509226004
J03WPY,8,DFL-OBJ-002GMO,DFL-OBJ-0028BZ,1.96,50,2.0836261547919763,1.8127539488623416,114.70272297524116,0.16984476382585065,12.466395627821205,8.041898827558082,10.491470945769958,8.041898827558082,12.466395627821205
J03WPY,9,DFL-OBJ-002GMO,DFL-OBJ-0028BZ,2.48,63,20.0,0.5850475007810416,141.65673710051246,0.1651732878008453,13.768424258265913,15.47495890386201,14.61119880829501,13.768424258265913,15.47495890386201
J03WPY,10,DFL-OBJ-002GMO,DFL-OBJ-0028BZ,1.6,41,0.7848788879458926,7.594959346171987,61.49457453465284,0.3542011976839701,13.234710267994798,6.945947013884556,9.96670674617216,6.945947013884556,13.234710267994798
J03WPY,11,DFL-OBJ-002GG4,DFL-OBJ-J01KJ5,1.48,38,0.7228496686869587,9.35332250379237,13.439916261066882,0.45648371751823924,1.2767172551267632,2.33387208302406,1.609192772233766,0.8161936229507452,2.346182831230322
J03WPY,12,DFL-OBJ-J01H9X,DFL-OBJ-0028T3,2.68,68,3.398265741498596,2.701181201654422,-3.7922555717576967,1.5689305738311368,5.428158323024074,1.6291653957002081,3.2133358390323337,1.6291653957002081,5.428158323024074
J03WPY,13,DFL-OBJ-002GMO,DFL-OBJ-0028BZ,4.72,119,20.0,0.3277485666350752,-152.96575518719624,7.677348966860094,15.959152193009315,10.049553118949069,11.968979312981457,9.558437243186576,15.959152193009315
J03WPY,14,DFL-OBJ-002GMO,DFL-OBJ-0028BZ,2.6,66,18.551944960434373,1.3918546069910867,45.72275216991412,2.9968512533455605,11.700830006643397,2.893017751639868,7.518658685974691,2.893017751639868,11.700830006643397
J03WPY,15,DFL-OBJ-J01KJ5,DFL-OBJ-002GG4,1.84,47,20.0,2.2095039867946324,86.45630950820292,0.8423571394413116,0.6772567971654764,0.7206567830422547,0.8843924463041275,0.40357278914308936,1.3811535811442566
